function,source,sequence,x1,x2,x3,x4,x5,x6,x7,x8,output,external_hash_verified
8,starter,27,0.1926398677800527,0.6306772792454518,0.4167958365821345,0.4905292886361583,0.7960860234515075,0.6545670649893544,0.2762411926390952,0.2955175859389456,9.34427428080805,False
8,starter,28,0.9431850170305945,0.21885061832396924,0.7211840813949316,0.42459707236559296,0.986901999632929,0.5351829837918638,0.7147431768271227,0.9600937201978069,6.887846394035938,False
8,starter,29,0.5327214008005816,0.8336925970506041,0.07139900368041063,0.1168114830026653,0.7306931104302237,0.9373755913975307,0.8665079814513607,0.12790199887479226,8.042212541982503,False
8,starter,30,0.4470958412516257,0.8439525266607225,0.7295461151130483,0.639151377764411,0.40928713656033655,0.13264569412604765,0.03590887616954386,0.44683847012021494,7.692368045766445,False
8,starter,31,0.38222496529770156,0.5571358370391387,0.8531016337098967,0.33379569194863146,0.26572127189201544,0.4808729162150689,0.2376470623766298,0.7686319560230626,7.923758772464366,False
8,starter,32,0.5328195296846364,0.8623084840156144,0.5382671189143975,0.04944293492608676,0.7197011888487516,0.906705898821978,0.10823094329185745,0.525347912713709,8.42175923792568,False
8,starter,33,0.3948651871629736,0.3318016662036827,0.7407543009490176,0.6978617248875726,0.7374044390612048,0.7837768101825778,0.2544954605733617,0.8711455102767413,8.27806239964175,False
8,starter,34,0.9859453896331098,0.8730536287240491,0.07039261939150476,0.05358729270021256,0.7341529580878641,0.5202585217083345,0.8110400448115301,0.10336036479406774,7.113457163948368,False
8,starter,35,0.9645733864975784,0.9739797874919709,0.6637533509433915,0.6622159916285258,0.6731216722333908,0.9052376239539363,0.458874623972506,0.5609175023390677,6.402588414582601,False
8,starter,36,0.47207070852799804,0.16820264498257953,0.08642756615940228,0.45265551274263305,0.48061922026880244,0.6224394886935388,0.9289744624151506,0.11253626719364063,8.472936316651243,False
8,starter,37,0.856006952569257,0.638893704341963,0.32619202225787736,0.6685031149075511,0.24029836908275548,0.210298890307674,0.16754636220200514,0.9635898631514271,7.977684585372973,False
8,starter,38,0.8100317362265036,0.6350460408760253,0.269547579489845,0.8696053381198416,0.6619215896902044,0.2522587265176317,0.7656700328121555,0.890548667016464,7.460872194740431,False
8,starter,39,0.7962525237327237,0.0070365325238340715,0.35569738041768384,0.48756605263746977,0.740519615145832,0.7066501025423233,0.992914494924961,0.3817343673185454,7.436593526746213,False
8,starter,40,0.4812453308565994,0.10246072091326408,0.2194859389283209,0.6773223694407319,0.24750918685503787,0.24434085824488616,0.16382452736791453,0.7159616402220536,9.1830052453254,False
8,week_01,1,0.06,0.07,0.03,0.04,0.41,0.82,0.5,0.91,9.58024,False
8,week_02,2,0.08,0.08,0.05,0.05,0.45,0.85,0.55,0.95,9.5241,False
8,week_03,3,0.04,0.04,0.04,0.04,0.47,0.88,0.58,0.97,9.44296,False
8,week_04,4,0.07,0.07,0.05,0.05,0.44,0.84,0.54,0.94,9.539439999999999,False
8,week_05,5,0.06,0.06,0.05,0.05,0.43,0.85,0.55,0.95,9.5113,False
8,week_06,6,0.05,0.05,0.05,0.05,0.45,0.85,0.55,0.95,9.5148,False
8,week_07,7,0.05,0.05,0.05,0.05,0.46,0.86,0.56,0.98,9.49476,False
8,week_08,8,0.05,0.05,0.05,0.05,0.47,0.87,0.57,0.98,9.47621,False
8,week_09,9,0.05,0.05,0.05,0.05,0.468,0.872,0.572,0.982,9.4709436,False
8,week_10,10,0.05,0.05,0.05,0.05,0.47,0.875,0.575,0.985,9.4646525,False
8,week_11,11,0.06,0.07,0.03,0.04,0.41,0.82,0.5,0.91,9.58024,False
8,week_12,12,0.06,0.07,0.03,0.04,0.41,0.82,0.5,0.91,9.58024,False
8,week_13,13,0.06,0.07,0.03,0.04,0.41,0.82,0.5,0.91,9.58024,False
